"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"3392","ttdiesti",6,"boyaca",236,"garagoa",2006,19.12
"3393","pcrparin",11,"cauca",444,"totoro",2006,51.29
"3394","ttdiesti",6,"boyaca",293,"socota",2006,29.39
"3395","pcrparin",20,"meta",466,"san martin",2006,95.93
"3396","ttdiesti",29,"tolima",992,"murillo",2006,20.77
"3397","pcrparin",20,"meta",383,"puerto rico",2006,88.48
"3398","ttdiesti",13,"choco",NA,"rio quito",2006,44.24
"3399","ttdiesti",29,"tolima",990,"libano",2006,22.41
"3400","ttdiesti",29,"tolima",985,"herveo",2006,16.54
"3401","ttdiesti",14,"cundinamarca",550,"nimaima",2006,15.72
"3402","pcrparin",6,"boyaca",290,"siachoque",2006,99.3
"3403","ttdiesti",7,"cordoba",NA,"la apartada",2006,27.85
"3404","ttdiesti",5,"bolivar",174,"hatillo de loba",2006,32.39
"3405","pcrparin",27,"santander",500,"cabrera",2006,100
"3406","pcrparin",2,"antioquia",22,"armenia",2006,93.59
"3407","pcrparin",5,"bolivar",514,"el penon",2006,92.59
"3408","ttdiesti",27,"santander",23,"barbosa",2006,14.28
"3409","ttdiesti",11,"cauca",NA,"lopez",2006,27.98
"3410","pcrparin",14,"cundinamarca",596,"viani",2006,100
"3411","pcrperca",20,"meta",NA,NA,2006,94.52825014
"3412","ttdiesti",27,"santander",941,"zapatoca",2006,12.96
"3413","pbretaia",18,"la guajira",NA,NA,2006,NA
"3414","pcrparin",2,"antioquia",14,"andes",2006,97.14
"3415","ttdiesti",14,"cundinamarca",554,"pandi",2006,20.87
"3416","pbretaia",21,"narino",NA,NA,2006,NA
"3417","pcrparin",6,"boyaca",285,"santa rosa de viterbo",2006,98.85
"3418","ttdiesti",21,"narino",718,"buesaco",2006,21.11
"3419","pcrparin",27,"santander",936,"tona",2006,96.97
"3420","ttdiesti",19,"magdalena",NA,"santa barbara de pinto",2006,20.08
"3421","ttdiesti",27,"santander",857,"aratoca",2006,23.11
"3422","ttdiesti",8,"caldas",372,"viterbo",2006,17.04
"3423","ttdiesti",8,"caldas",366,"risaralda",2006,21.58
"3424","pcrparin",5,"bolivar",169,"cantagallo",2006,97.3
"3425","ttdiesti",30,"valle del cauca",1052,"yumbo",2006,15.26
"3426","cgrnacim",28,"sucre",NA,NA,2006,32663
"3427","igrtgfec",2,"antioquia",NA,NA,2006,NA
"3428","ttdiesti",20,"meta",699,"puerto concordia",2006,32.49
"3429","pcrparin",14,"cundinamarca",539,"la pena",2006,98.28
"3430","pcrparin",5,"bolivar",196,"turbana",2006,99.04
"3431","ttdiesti",2,"antioquia",21,"argelia",2006,20.94
"3432","ttdiesti",21,"narino",748,"mallama",2006,33.23
