"";"idindicador";"iddepto";"nomdepto";"idmpio";"nommpio";"year";"idindicador"
"210";"pcrparin";41;"huila";41676;"santa maria";"2005";98,58
"211";"cgrnacim";76;"valle del cauca";NA;NA;"2005";23295
"212";"pcrparin";13;"bolivar";13001;"cartagena";"2005";99,39
"213";"ttdnesti";5;"antioquia";NA;NA;"2005";25,13043183
"214";"ttdiesti";68;"santander";68689;"san vicente de chucuri";"2005";18,46
"215";"ttdiesti";25;"cundinamarca";25372;"junin";"2005";20,39
"216";"rgrtgfec";47;"magdalena";NA;NA;"2005";NA
"217";"pcrparin";52;"narino";52233;"cumbitara";"2005";93,55
"218";"ttdiesti";68;"santander";68679;"san gil";"2005";13,17
"219";"pbretaia";15;"boyaca";NA;NA;"2005";NA
"220";"pcrperca";44;"la guajira";NA;NA;"2005";94,55752599
"221";"ttdiesti";95;"guaviare";95025;"el retorno";"2005";37,11
"222";"pbepredg";94;"guainia";NA;NA;"2005";NA
"223";"cgrnacim";81;"arauca";NA;NA;"2005";62297
"224";"pcrparin";73;"tolima";73547;"piedras";"2005";97,01
"225";"ttdiesti";25;"cundinamarca";25019;"alban";"2005";17,53
"226";"pcrparin";17;"caldas";17088;"belalcazar";"2005";96,47
"227";"pcrparin";54;"n.santander";54673;"san cayetano";"2005";100
"228";"rtrmorpu";63;"quindio";NA;NA;"2005";66,68
"229";"ttdiesti";76;"valle del cauca";76823;"toro";"2005";16,85
"230";"pcrparin";25;"cundinamarca";25805;"tibacuy";"2005";97,78
"231";"ttdiesti";52;"narino";52215;"cordoba";"2005";39,24
"232";"pcrparin";54;"n.santander";54377;"la bateca";"2005";90,24
"233";"ttdiesti";20;"cesar";20238;"el copey";"2005";23,6
"234";"pcrparin";23;"cordoba";23686;"san pelayo";"2005";98,66
"235";"ttdiesti";15;"boyaca";15621;"rondon";"2005";19,9
"236";"pcrparin";5;"antioquia";5790;"taraza";"2005";98,48
"237";"pbehtaco";13;"bolivar";NA;NA;"2005";NA
"238";"pbepredc";63;"quindio";NA;NA;"2005";NA
"239";"pcrparin";17;"caldas";17524;"palestina";"2005";98,37
"240";"ttdiesti";15;"boyaca";15106;"briceno";"2005";20,64
"241";"pcrparin";52;"narino";NA;NA;"2005";90,66371493
"242";"pcrparin";25;"cundinamarca";25745;"simijaca";"2005";99,02
"243";"ttdiesti";5;"antioquia";5306;"giraldo";"2005";34,05
"244";"igrtgfec";23;"cordoba";NA;NA;"2005";NA
"245";"pgeembar";41;"huila";NA;NA;"2005";19
"246";"ttdiesti";25;"cundinamarca";25299;"gama";"2005";22,98
"247";"pbrmivih";18;"caqueta";NA;NA;"2005";NA
"248";"ttdiesti";76;"valle del cauca";76306;"ginebra";"2005";14,39
"249";"pcrparin";68;"santander";68522;"palmar";"2005";100
"250";"pcrparin";5;"antioquia";5697;"el santuario";"2005";98,81
"251";"ttdnesti";19;"cauca";NA;NA;"2005";63,90372979
"252";"pcrparin";76;"valle del cauca";76622;"roldanillo";"2005";99,81
"253";"pcrparin";41;"huila";41807;"timana";"2005";91,78
"254";"pcrparin";15;"boyaca";15814;"toca";"2005";96,34
"255";"pbehtaco";11;"bogota";NA;NA;"2005";NA
"256";"pcrparin";8;"atlantico";8421;"luruaco";"2005";99,44
"257";"ttdiesti";70;"sucre";70124;"caimito";"2005";28,96
"258";"ttdiesti";68;"santander";68162;"cerrito";"2005";25,04
"259";"pcrparin";52;"narino";52694;"san pedro de cartago";"2005";93,14
"260";"ttdiesti";25;"cundinamarca";25473;"mosquera";"2005";12,19
"261";"pcrparin";68;"santander";68211;"contratacion";"2005";98,46
"262";"pcrperca";68;"santander";NA;NA;"2005";95,34635563
"263";"ttdiesti";20;"cesar";20178;"chiriguana";"2005";22,32
"264";"ttdiesti";52;"narino";52083;"belen";"2005";22,85
